Paragraph,happy,sad,anger,fear
"""తను చాలా ముక్కుసూటి మనిషి, లోపలోకటి బయట ఒకటి టైపు కాదు. నాకు అలా ఉండేవాళ్ళంటే చాలా అభిమానం. తనకు నాకు ఆలోచనల స్థాయిలో ఎన్నో సారుప్యాలు, అన్నిటికంటే బాగా కనెక్ట్ చేసిన విషయం ఏంటంటే నేను విపరీతంగా అభిమానించే హీరో కి తనూ అదే స్థాయి అభిమాని. మన దేశంలో రెంటికే లాజిక్లు, రీజన్లు, నిజాలతో కూసంత కూడా అవసరం లేదు. అవి ఒకటి అనుమానం, రెండోది అభిమానం. అనుమానం ఎంత దగ్గరి వాళ్ళని ఐనా ఇట్టే దూరం చేసేస్తుంది. అభిమానం పరిచయం లేని వాళ్ళని కూడా ఆ..ట్టే దగ్గర చేసేస్తుంది. అందులోనా మన తెలుగు వాళ్ళకి హీరోల మీద ప్రేమ మాములుగా ఉండదు కదా, మా వాడి అభిమాని అని తెలిస్తే చాలు అలా! కనెక్ట్ అయిపోతాం. మా క్లోజ్ నెస్ చూసి, మా ఫ్రెండ్ ఒకడు, “ఏంట్రా విషయం” అని వెకిలిగా నవ్వుతూ అడిగాడు. నేను ఏం లేదు ఫ్రెండ్ రా, అని చెప్పినా వినకుండా విసిగించాడు. “అమ్మాయితో ఫ్రెండ్షిప్ ఏంట్రా, అమ్మాయిలంటే అది తప్ప ఇంకేం ఉండదు రా అబ్బాయిలకు, అది కూడా తనలాంటి మాంచి ఫిగర్ జస్ట్ ఫ్రెండ్ అంటే ఎలా నమ్మమంటావ్ !?” అని",20,60,10,10
"""మంచి స్ట్రక్చర్ ఉన్న ప్రతీ అమ్మాయిని అలానే చూడాలా ? తప్పటంలేదు తప్పుగా మాట్లాడుతున్న క్షమించు!...మీ అక్కో చెల్లో ఎంతో సూపర్ గా ఉన్నా తనని వేరేలా చూడలేవ్ గా. ఇది కూడా అంతే రా, తోడపుట్టినవాళ్ళు తప్ప మిగతా అందరిని అలానే చూడాలా?. నీ బూతు బుర్రకి ఆ ఒక్క ఫీలింగ్ ఏ తెలుసేమో, దాన్ని మించినవి, నీకు ఆనందాన్ని ఇచ్చేవి చాలా ఉన్నాయి. వాటి గురించి తెలిసిన వాళ్ళకు నీకు తెలిసిన ఆ ఒక్క ఫీలింగ్ తుచ్చంలా అనిపిస్తుంది. వాటి గురించి నీకు చెప్పాలని నాకూ ఉంది, కాని అర్ధం చేసుకునే తెలివి నీకులేదు. నువ్వు యాభై ఏళ్ళ తర్వాత కలిసినా మేము ఇలాగే క్లోజ్ గా ఉంటాం. ఫ్రెండ్ అంటేనే అది రా.... వాడికి అర్ధం అయినట్టు లేదు, నేను చెప్పాల్సింది చెప్పేసి అక్కడి నుండి వెళ్ళిపోయాను.""",20,60,10,10
"""తను దూరంగా ఉండి విన్నట్టు ఉంది “థాంక్స్ రా బాబు. నువ్వు కూడా అందరిలా చేప్తావేమో అని భయమేసింది” అని కంట్లో లైట్ గా కనీళ్ళతో చెప్పింది తను. హేయ్...మా శ్రీనిగాడు కూడా మాములు అమ్మాయిలా ఫీల్ అవుతున్నాడే అని నవ్వుతూ అంటుంటే తనూ నవ్వుతుంది. ” శైలు కలిసే సమయానికి శ్రీని పై చదువులకోసం వేరే దేశం వెళ్ళింది. శైలు గురించి శ్రీనికి అన్నీ తెలుసు. ఆ దేవుడికి అన్నీ తెలుసు కదా, అందుకే నేను బాధలో ఉన్నానని తనకి సెలవలు ఇప్పించి ఇక్కడికి పంపించాడేమో. నన్ను మళ్ళీ మామూలుగా మార్చేసి వెళ్ళిపోయింది తను. ఆ తర్వాత శైలు గురించి మర్చిపోయి, సెట్టిల్ అవ్వాలని నిశ్చయించుకున్నాను. సీరియస్ గా సినిమాల కోసం కథలు రాయటం మొదలెట్టాను. సినిమా కథల ప్రయాణం అటువంటి గమ్యానికి చేరుస్తుందని కలలో కూడా ఊహించలేదు నేను. """,20,60,10,10
"""శైలు పరిచయం అవ్వకముందు నా రూమ్ లో కూర్చొని ఏదోటి ఆలోచిస్తూ, తట్టింది రాసుకుంటూ ఉండేవాడిని ఆనందంగా. తను వెళ్ళిపోయాక అదే రూమ్ లో కూర్చొని, ఏమి ఆలోచించలేక చాలా రోజులు దిక్కులు చూస్తూ గడిపేశాను. అప్పటివరకు నాకు నచ్చిన కథలు రాసుకున్న నేను, మొదటిసారి ఒక సినిమా కోసం కథ రాయాల్సి వచ్చింది. మా మావయ్య కి తెలిసిన ఒక సహాయ దర్శకుడు తనకోసం ఓ కథ రాయమని చెప్పాడు. నా కోసం రాసుకున్న కథలు ఎలా అయిన రాయొచ్చు, తెలుగు పద ప్రయోగాలు అన్ని వాడేయోచ్చు, పేరాలు పేరాలు సంభాషణలు రాసుకోవచ్చు, అంతరిక్షానికి నిచ్చెన వేసి ఎక్కి వెళ్ళొచ్చు అన్నిటికంటే ముఖ్యంగా నాకు నచ్చింది నేను రాసుకోవచ్చు కాని సినిమా కథలంటే అలా కాదు. నాకు నచ్చింది నేను రాసిస్తా అంటే కుదరదు, సవాలక్ష మందికి సంతృప్తిపరచాలి. అందరికంటే ముందు కథ.""",20,60,10,10
"""కథానాయకుడికి నచ్చాలి, ఆ తర్వాత లక్ష్మీదేవిని ఖర్చుచేసే నిర్మాతకు నచ్చాలి, ఆ తర్వాత ఆయన బంధువులకు, వారి సిద్ధాంతికి, వాళ్ళింట్లో అందరికి నచ్చాక చివరిగా దర్శకుడికి నచ్చాలి. దర్శకుడి ఆలోచనలు, కథానాయకుడి అభిమానుల అంచనాలు, నిర్మాత ఆర్ధిక లెక్కలు అన్నీ గీసిన చట్రంలో బందీగా ఉంటూ వాటి అంచులు దాటకుండా సినిమా చూసే ప్రేక్షకుడికి నచ్చేలా కథను రాయటం అంటే మామూలు విషయం కాదు. అప్పటివరకు సినిమా అంటే కొద్దిగా చిన్న చూపు ఉండేది నాకు, ఏముంది ఏదోటి రాస్తారు, నచ్చింది తీస్తారు, థియేటర్స్ లో వేస్తారు అనుకునేవాడ్ని. కాని సినిమా తీయటం మామూలు విషయం కాదు, కొన్ని వందల మంది శ్రమ ఫలితమే సినిమా. కథానాయకుడు ఒక్కడే కనిపిస్తాడు కాబట్టి అతనికి ఎక్కువ అభిమానులు ఉండొచ్చు, కాని అతన్ని అంతమంది అభిమానుల దగ్గరికి చేర్చేందుకు చాలా మంది అహర్నిశలు కష్టపడతారు. ఆ కష్టాన్ని దగ్గరినుండి చూసేప్పటికి నేను రాయలేనేమో అన్న భయం మొదలైంది. ఏదోటి రాయాలంటే ఏదైనా రాయొచ్చు, కాని ఇలానే రాయాలి ఇదే రాయాలి అంటేనే ఏది ర",20,60,10,10
"""నాకు ఇది తప్ప ఇంకేంరాదు, నేను ఇక్కడ తప్ప ఇంకెక్కడా ఉండలేను, కాబట్టి అలవాటు చేసుకోవాలి. భయం బెదురూ కాస్తా ఆసక్తి అవసరం కింద మారిపోయాయ్. సినిమాకి కథ కంటే ముఖ్యం కథనం, నువ్వు తీసిన కథనే ఎన్ని సార్లు కథనం మార్చి తీసిన చూస్తారు. చిన్న విషయం మనసులో ఉంచుకుంటే చాలు, ఒకే కథని కథనం మార్చి నచ్చేలా తీస్తే 100 సినిమాలైన చూస్తారు, హిట్ చేస్తారు. ఆ సహాయ దర్శకుడు నాకు చాలా సహాయం చేసాడు, కథ, కథనం, మాటలు సినిమాకు తగ్గట్టుగా ఎలా రాయాలో నేర్పించాడు. నా మీద నాకే నమ్మకం కుదిరాక రాసిన మొదటి సన్నివేశం... హీరో వాళ్ళ అమ్మమ్మ వాళ్ళ ఊరిలో, హీరో చినప్పుడు వాళ్ళ మావయ్యలు వాళ్ళ నాన్నని అవమానించి పంపిస్తారు. హీరో వాళ్ళ అమ్మకి రావాల్సిన ఆస్తి అంతా వాళ్ళ మావయ్యల దగ్గరే ఉంది. ఆ తర్వాత 15 ఏళ్ళు హీరో వాళ్ళు, వాళ్ళ అమ్మమ్మ వాళ్ళ ఇంటికి వెళ్లలేదు. """,20,60,10,10
"""ఏళ్ల తర్వాత వాళ్లకు కావలిసిన మనిషి చనిపోతే చూడటానికి వెళ్తాడు హీరో, వాళ్ళ అమ్మతో కలిసి. శవం మీద దండ వేసి, ఓ పక్కగా నిల్చొని చూస్తుంటాడు హీరో. హీరో వాళ్ళ అమ్మ ఏడుస్తూ ఉంటుంది. దహనం ముగిసాక అందరూ, చనిపోయిన వాళ్ళ ఇంటి దగ్గర నిల్చొని మాట్లాడుకుంటుటారు. పక్కన ఉన్న వాళ్ళందరూ వాళ్ళ అమ్మని కుశల ప్రశ్నలు వేస్తుంటారు, మీ భూమికి బాగా ధరొచ్చింది ఎపుడు తీసుకుంటున్నావ్, దగ్గరలో రోడ్ పడుతుందంట ఇలా హీరో అమ్మకి గుర్తులేని విషయాలు గుర్తుచేస్తున్నారు వాళ్ళు. అప్పుడు వస్తారు హీరో వాళ్ళ మావయ్య వాళ్ళు. అక్కడ ఉన్న వాళ్ళు మాట్లాడే మాటలు విని, హీరో వాళ్ళ అమ్మని ఉద్దేశించి “ఇంతకాలం లేని సంత ఇప్పుడెందుకు వచ్చిందో ఉన్నపళంగా.""",10,70,15,5
"""రామయ్య మావని చివరిసారి చూడాలన్న ఆరాటంతోనా, ఆస్తి రాకుండా పోతుందన్న బాధతోనా!? ఐనా అప్పుడు నయాపైసా మాకొద్దు అని బిగించుకు వెళ్ళిపోయిన మనుషులు; ఇప్పుడు పనికిమాలిన వాళ్ళతో మాట్లాడించటం ఏంటో! సిగ్గులేని జన్మ కాపోతే.” హీరోకి కోపం వస్తుంటుంది కాని ఏం మాట్లాడద్దు అని ఆపుతుంది వాళ్ళ అమ్మ. ఈ లోపు పక్కన ఉన్న ముసలి పెద్దావిడ హీరో మామయ్యతో “అదేంట్రా అలా అంటావ్!? ఎంత కాదన్న ఆస్తి దానిది; మీ నాన్న కట్నం కింద ఇచ్చిన ఆస్తి, వాళ్ళు వద్దన్నా అది వాళ్ళకే దక్కుతుంది ” అని ఇంకేదో చెప్పబోతుంటే “మధ్యలో నీకెందుకే ముసలిముండా!!” అంటూ కోపంగా అరుస్తూ చేయెత్తి కొట్టబోతాడు హీరో వాళ్ళ మామ. అప్పటివరకు ఏం మాట్లాడకుండా చూస్తూ నిల్చున్న హీరో, కొట్టబోతున్న వాళ్ళ మామ చేయిని ఆపుతాడు, అప్పుడే వర్షం మొదలవుతుంది. అప్పుడు హీరో “వద్దూ...వద్దు మావయ్యా! అలా మాట్లాడటం తప్పు!!! చుట్టరికం మీద గౌరవం తో నాన్న ఆ రోజు ఏం మాట్లాడలేదు, రక్తం మీద ప్రేమతో అమ్మ ఈ రోజు ఏం మాట్లాడలేకపోతుంది. నాకు చుట్టరికం మీద నమ్మ",5,60,30,5
"""నాన్న మాట మీద గౌరవం, అమ్మ మీద ప్రేమ వలన మిమ్మల్ని ఏం అనలేకపోతున్నాను. సహనాన్ని చేతగానితనం లా చూడొద్దు, బలం లేని వాళ్ళమీద చేయెత్తోద్దు, వదిలేసిన వాటి గురించి రాద్ధాంతం వద్దు. ఇది సమయం కాదు...మాకా అవసరం కూడా లేదు.” హీరో ఇలా చెప్తుంటే వాళ్ళ మావయ్య మనిషి ఒకడు కొట్టడానికి వస్తాడు, వాడి వైపు కోపంగా చూస్తూ “చెప్తే అర్ధం కాదేంట్రా మీకు...” అని ఆ తర్వాత సింపుల్ ఫైట్ అన్నమాట. నేను అలా రాసాను సన్నివేశం. కాని దర్శకుడు వచ్చి మరీ క్లాసుగా ఉంది మన హీరో భీకరమైన మాస్ అభిమానులు ఉన్నవాడు, కొంచెం మాస్ గా అంటే రేయ్... చంపేస్తా లాంటివి వాడుతూ మార్చు అని సలహా ఇచ్చారు. అతనేం చేస్తాడు పాపం, హీరో కి నచ్చిన విధంగా రాయకపోతే సినిమా పోతుందేమో అన్న భయం అతనిది. దర్శకుడి కోసం హీరో సంభాషణని “రేయ్...చంపేస్తా! నిన్ను కాదు నీలోపల మా ఆస్తిపై ఉన్న కోరికని. మా నాన్న మంచితనాన్ని పిరికితనం అనుకున్నారు, అప్పుడు వెళ్ళగొట్టారు, తలదించుకు వెళ్ళిపోయాం.""",10,50,35,5
"""ఇప్పుడు కూడా అలానే ఉంటుంది అనుకోకు. ఆస్తి నాది, ఎప్పటికైనా నాదే. గుర్తుపెట్టుకో...నీ కూతురికి మొగుడ్ని అవుతా, నీకు రంకుమొగుడ్ని అవుతా.” ఈ లోపు వేరే వాడు కొట్టటానికి వస్తుంటే... “రేయ్...కొడితే కుట్లేయటానికి డాక్టర్ కూడా భయపడతాడు. పో...”. మార్చిన తర్వాత దర్శకుడికి నచ్చింది, కాని నిర్మాతకు నచ్చలేదు. కొద్దిగా మార్చితే బావుంటుంది అన్నాడు. దర్శకుడికి ఇష్టం లేకపోయినా పెద్ద నిర్మాత కాబట్టి కొద్దిగా మార్చు, ఇంకొంచం మాస్ కావాలి అన్నాడు. హ్మ్మ్...ఒప్పుకున్నాక తప్పుతుందా అనుకోని, మార్చటం మొదలెట్టాను. ఈసారి డైలాగ్ చెప్పకుండా ముందే కొట్టేస్తాడు హీరో. వాళ్ళ మామయ్యా కింద పడిపోతాడు. అప్పుడు హీరో గారి డైలాగ్ అన్నమాట. “మా నాన్నని మోసం చేసి వెళ్ళగొట్టారు. ఇస్తా దెబ్బకు దెబ్బా, మాటకు మాట, అవమానానికి అవమానం తిరిగి లెక్క చెల్లిస్తా. నిన్ను ఇప్పుడు కొట్టలేదు, జస్ట్ నెట్టాను అంతే. నెడితేనే నెల నాకేసావ్, కొడితే బాల్చి తన్నేస్తావ్. గుర్తుపెట్టుకో నేను దేవ్...జైదేవ్...ఆయన కొడుకునే. న",5,40,50,5
"""కోపంగా వాడి వైపు చూస్తూ “దా...రా రా...దమ్ముంటే టచ్ చెయ్ కొడకా !!” అని వార్నింగ్ ఇస్తాడన్నమాట. ఇది అందరికి నచ్చింది, ముఖ్యంగా దేవ్ జైదేవ్ అనేది, రంకుమొగుడ్ని అనేది, టచ్ చెయ్ కొడకా అనేది బాగా నచ్చేసిందట అందరికి. అక్కడ ఉన్న వాళ్ళందరికీ నచ్చింది నాకు తప్ప. నాకు నచ్చిందో లేదో ఎవడికి కావాలి, డబ్బులిచ్చారు వాళ్ళకి నచ్చినట్టు రాసివ్వాలి అదే కదా నా పని. దర్శకుడికి ఒక్కసారి చెప్పా అది బాలేదు, మొదటి వెర్షన్ ఏ బావుంది కదండీ అని, ఇక్కడ నా మాటకే విలువలేదు ఎక్కువ ఆలోచించకు అని చెప్పాడు. మేనమామని రేయ్ అనటం ఏంటి, రంకుమొగుడు అవ్వటం ఏంటి, కొడకా ఏంటి...ఏం రాస్తున్నాను నేను... కూటి కోసం తప్పదు కదా అనిపించింది. చాలా వాటిని కాదు, కాదు నేను రాసిన సన్నివేషాలు అంతే ఉన్నాయి కాని సంభాషణలు అన్నిటిని మార్చేసాం. మాస్ మాస్ మాస్ ఎవ్వడి నోట విన్నా ఒకే మాట, మాస్. ఏంటో మారి ప్రేక్షకులు మాస్ క్లాసు ఏంటో నాకు అర్ధం అవ్వలేదు. """,5,60,30,5
"""మాస్ కి తగ్గట్టు మార్చాను అన్నిటిని ప్రేమతో సహా. హీరొయిన్ కి హీరో ప్రేమ గురించే తెలిపే సన్నివేశం... ఇందులో హీరో, హీరొయిన్ ఇద్దరూ బాగా చదువుకున్న వ్యక్తులు. ఒకే ఆఫీస్ లో వర్క్ చేస్తారు అన్నమాట. హీరో: “నువ్వు జాయిన్ ఐన మొదటి రోజు చూసాను, నా గుండెలో గంటలు మోగలేదు, నా కళ్ళలో మెరుపులు మెరవలేదు కనీసం నా సిస్టం హాంగ్ అవ్వనూ లేదు. కాని బాగా దగ్గరి వ్యక్తిలా అనిపించావ్. చూడాలనిపించేది, మాట్లడలనుకునేవాడ్ని, నీతో సమయం గడపాలి అనిపించేది. నువ్వు చాలా అందంగా ఉంటావ్. అంతకంటే మంచి వ్యక్తిత్వం కలిగిన అమ్మాయివి. నాకు నా మనస్తత్వానికి దగ్గరగా ఉన్నావ్. నువ్వు ఒప్పుకుంటే మీ వాళ్ళతో మాట్లాడుతా, మన పెళ్లి గురించి.” దర్శకుడు ఇచ్చిన సలాహాలు చొప్పించిన తర్వాత వెర్షన్ - హీరో: “నువ్ జాయిన్ ఐన రోజు 18 డిగ్రీస్ ఏసి లో కూడా నాకు చెమటలు పట్టేసాయ్, నా ఫోన్ రింగ్ టోన్ నీ నవ్వు ముందు నిలబడలేక సైలెంట్ లోకి వెళ్ళిపోయింది, నా డెస్క్టాప్ వాల్ పేపర్ నీకంటే అందంగా లేదని బాధతో లాక్ చేసుకుంది, నీ క",10,50,35,5
"""అప్పుడే నీకు పడిపోయా, నీ మాటల మత్తులో మునిగిపోయా, నీ వెనుక పరిగెత్తలేక నా ఊహలు అలసిపోయాయ్. నువ్వంటే నాకిష్టం, నీకోసం మేనేజర్ ని అయినా ఎదిరిస్తాను, చైర్మెన్ ని అయినా బెదిరిస్తాను. ఐ లవ్ యు.” నిర్మాత ఇచ్చిన సలహాలు + హీరో మాస్ అభిమానుల ఆశలు కలిపినా తర్వాత వెర్షన్- హీరో: “ఇదిగో నిన్నే...మరీ ఓ తిప్పుకోమాక. నువ్ జాయిన్ ఐన రోజే నిన్ను ఇష్టపడ్డా. ఆ తర్వాత నుండి నీ వెనుక తిరుగుతున్నట్టు నీకు తెలుసు. నీకోసం ఎవ్వడి సిస్టం హాంగ్ చేయటానికైనా, బాటరీ బ్లాస్ట్ చేయటానికైనా నేను సిద్ధం. నేనంటే నీకూ ఇష్టమే కదా, బయటకి చెప్పటానికి ఎందుకు అంత ఎదవ మొహమాటం. మన పిల్లలకు పేర్లు కూడా పెట్టేసా.""",15,40,30,15
"""మీ అమ్మా బాబులు గురించి మర్చిపో...నీకు నేనే మొగుడ్ని అని ఫిక్స్ అయిపో. ఏంటి...ఆ !” చివరిగా రాసిన వెర్షన్ నిర్మాత కి బాగా నచ్చింది, అంటే అందరికి నచ్చినట్టే. ఈ విధంగా రాయటానికి నాకు మనసొప్ప లేదు, కాని తప్పలేదు. అందరిని తృప్తి పరిచేలా రాసాను. సినిమా విడుదలయ్యింది. పెద్ద హిట్ అయ్యింది,కాని నాకు ఏ మాత్రం ఉపయోగపడలేదు. ఓ పెద్ద రచయిత పేరు వేస్తే బిజినెస్ ఎక్కువ జరుగుతుందని అతని పేరు వేసారు. నాకు పెద్దగా బాధేం అనిపించలేదు, ఎందుకంటే అందులో అన్నీ నేను రాసినవి కాదు వాళ్ళు రాయించుకున్నవి కదా. ఇలా నాలో నేను రాజీ పడుతూ ఇంకొన్ని సినిమాలకు పని చేసాను. """,20,30,40,10
"""కొన్ని పెద్ద హిట్ అయ్యాయి, కొన్ని పోయాయి కాని నేనెప్పుడు ఫెయిల్ అవ్వలేదు. ఓ మూడు సంవత్సరాలు సినిమాకు నాకు మధ్య ఆలోచనల పరంగా యుద్ధం జరిగింది. ఈ మాస్, క్లాసు, బిజినెస్, హీరో, దర్శకుడు, నిర్మాత ఇంతమంది ఆలోచనల మధ్య నేను లేకుండా పోతున్నాను అనిపించింది. డబ్బులు బానే ఉన్నాయ్, కాని మనశ్శాంతి, సంతృప్తి, సంతోషం లేవు. పస్తులు పడుతూ బతకొచ్చు కాని రాజీ పడలేను అనిపించింది. కొన్నేళ్ళకు వెనక్కి చూస్తే నేను ఉండను, నా జీవితం లో నేను లేకుంటే ఎందుకు ఇంత పోరాటం అనిపించింది. సినిమాలు వదిలేద్దాం అనే నిర్ణయానికి వచ్చాను, వదిలేద్దాం సరే మరి వదిలేసి ఏం చేస్తావ్""",10,50,30,10
"""సినిమాలకు పనిచేయటం నావల్ల కాదండీ అని, నాకు ఎంతో సహాయం చేసిన ఆ దర్శకుడికి చెప్పి ఇంటికి వెళ్లాను. వెళ్ళగానే అమ్మకి చెప్పాను...ఎందుకూ అని అడగలేదు, తర్వాత ఏం చేస్తావ్ అని ఆరాలు తీయ్యలేదు, ఎమన్నా తిన్నావా ఏం చేయమంటావ్ అంది. అప్పుడే నాన్న వచ్చారు, ఇంత బాధ్యతా రాహిత్యంగా ఉంటె ఎలా, ఇప్పుడు ఏం చేస్తావ్ ఇంట్లో కూర్చొని, సినిమాలకు ఏమైంది బాగానే సంపాదిస్తున్నావ్ కదా, అసలు ఎందుకు వచ్చావ్, వచ్చేసావా పంపించేసారా ? నీకు నచ్చిన పనే కాదా? ఇలా ప్రశ్నల వర్షం కురిపించారు నాన్న. నేనేం మాట్లాడలేదు, ఆయనా ఇంకేం మాట్లాడకుండా వెళ్ళిపోయారు. ఆ తర్వాత చాలా కాలం ఆయన నాతో మాట్లాడలేదు. నేను ఎవ్వరితో మాట్లాడలేక పోయాను. సరిగ్గా ఏడాది ఏమి చేయకుండా ఉండిపోయాను. చాలా రోజులు ఏం చేయాలో తెలీలేదు. ఒకరోజు అర్ధరాత్రి మెలుకువ వచ్చింది. కిటికీ లో నుండి ఆకాశాన్ని చూస్తూ కూర్చున్నాను.""",5,70,20,5
"""ఏమైందో తెలీలేదు కాని అసలు నీ లక్ష్యం ఏంటి అని అడిగినట్టు అనిపించింది. చుట్టూ చూసాను ఎవరూ లేరు. మళ్ళీ తదేకంగా అంతులేని శూన్యాన్ని దాచుకున్న ఆకాశంలో, శూన్యానికి మూలాన్ని వెతుకుతున్నాను. మళ్ళీ అదే ప్రశ్న వినిపించింది, నీ లక్ష్యం ఏంటి అని. గది మొత్తం చూసాను ఎవ్వరూ లేరు, కిటికీ లో నుండి చూసాను, బయట కూడా ఎవ్వరూ కనిపించటం లేదు. గుండె బరువుగా అనిపిస్తుంది, లోపల నుండి ఎవరో బయటకి రావాలని తాపత్రేయ పడుతునట్టు తెలుస్తుంది. కళ్ళు మూసుకున్నాను, మంచం మీద పడుకున్నాను, అప్పుడు అర్ధం అయ్యింది ఆ ప్రశ్న బయట ఎక్కడ్నుండో వస్తుంది కాదు, నా లోపలి నుండే వస్తుంది. నన్ను నేను ప్రశ్నించుకుంటుంన్నాను.""",10,60,20,10
"""సమాధానం చెప్పకుండా దాటేద్దాం అనే అవకాశం లేకుండా పోయింది. ఎందుకంటే అడిగేది నేనే, అడుగుతుంది నన్నే, చెప్పాల్సింది నేనే, చెప్పేది నాకే. నాకేం సమాధానం చెప్పాలో తెలీదు, ఎందుకంటే అప్పటివరకు ఆ ప్రశ్న నాకు ఎప్పుడూ ఎదురవ్వలేదు, నన్ను నేను ఎప్పుడూ ప్రశ్నించుకోలేదు. మొదటిసారి కలిగింది, వదలకుండా మెదులుతూనే ఉంది. కొన్ని రోజులకు ఆ ప్రశ్నకు సమాధానం వెతకటం మానేసి, నన్ను నేను వెంబడించటం మొదలెట్టాను. నేనో పెద్ద రచయితను అవ్వటమే నా లక్ష్యం అని నన్ను నేను సమాధాన పరుచుకున్నాను. ఆ వెంటనే ప్రశ్నల పరంపర అసలు నువ్వెవరు, ఎక్కడి నుండి వచ్చావ్, ఎక్కడ ఉన్నావ్, ఎక్కడికి వెళ్తున్నావ్, ఎక్కడికి వెళ్ళాలి...అంటూ నా మనసుని ఉక్కిరి బిక్కిరి చేస్తున్నాయ్. ఏమవుతుంది నాకు అనే భయం, పిచ్చోడ్ని అవుతున్ననేమో అన్న బాధ, నేనెవరో తెలుసుకోవాలన్న కుతూహలం, ఏమి చేయలేని నిస్సహాయత అన్ని భావాలు ఒకేసారి దండయాత్ర చేస్తున్నాయ్ నా పైన.""",5,70,15,10
"""ఆలోచనల అంతు చూస్తే కాని నాకు మనశాంతి ఉండదని నిశ్చయించుకున్నాను. ఆలోచనల వెనుక అలుపులేని ప్రయాణం సాగించాను. ఊపిరి తీసుకోవటం మర్చిపోయి ఊహల ఊసులకు ఊ కొడుతూ కూర్చున్నాను. అంతరిక్షం చూసాను, పాతాళానికి వెళ్లాను నాలో నేను. తిరిగాను కొన్ని వేల మైళ్ళు...కాలు కదపకుండానే నాలో నేను, వెతికాను అంతులేని సమాధానాలు...ప్రశ్నలు తెలీకుండానే నాలో నేను, చూసాను వర్ణించలేని అద్భుతాలు...కళ్ళు తెరవకుండానే నాలో నేను, విన్నాను నాకే తెలీని ప్రవచనాలు...పెదాలు పలకకుండానే నాలో నేను, స్పర్శించాను సుందరమైన స్వప్నాలు...చేతులకు చెప్పకుండానే నాలో నేను. ఎదుటివారికి కనిపించేలా ఏమి చేయాలేదు, నాకే కనిపించకుండా ఎన్నో చేసాను నాలో నేను. నాలోకి నేను ప్రయాణం మొదలెట్టిన మొదట్లో చాలా వింతగా అనిపించింది, అంతా గాడాంధకారం. అంతర్మధనం మొదలింది, పూర్తయ్యేప్పటికి మొత్తంగా మారిపోయింది నేను అనుకునే మూలం. """,10,50,30,10
"""చిన్నప్పటి భయాల దగ్గరినుండి, చేసిన తప్పులు, చెప్పిన అబద్దాలు, చేసిన చెడ్డ పనులు, విన్న చెడు మాటలు, కలిగిన చెడ్డ కోరికలు, గుర్తుచేసుకోవటానికి కూడా ఇష్టపడని విషయాలు పలకరిస్తున్నాయ్ నన్ను, అసహ్యం కలిగించే ఆలోచనలు ఎదురవుతున్నాయ్ నాకు. ఇవన్నీ చూస్తుంటే నేనేనా ఇవన్నీ చేసింది, ఇంత దిగజారుడు మనిషినా నేను, అంత మూర్కత్వం ఉందా నాలో అనిపించింది. వీటిని తట్టుకొని దాటి ముందుకు వెళ్ళిన తర్వాత నేను చేసిన మంచి పనులు, గడిపిన ఆనంద క్షణాలు, తలుచుకొని మురిసిపోయే జ్ఞాపకాలు ఇవన్నీ ఎదురయ్యాయి. వాటిని చూసినప్పుడు ఇంత మంచివాడినా, ఇంత ఆనందంగా ఉన్నది నేనేనా అనిపించింది. కొన్నిసార్లు గొప్పవాడిగా, మరికొన్నిసార్లు పిరికివాడిగా కనిపించాను నాకు నేను. వీటి మత్తులోకి జారిపోకుండా తప్పించుకొని ముందుకు వెళ్తుంటే, నేనెవరు అనే ప్రశ్న ఎదురైంది. ఆ ప్రశ్నకు సమాధానం కోసం వెతుకుతూనే ఉన్నాను, ఇప్పటికీ దొరకలేదు. ఒక్క ప్రశ్న నా ఆలోచనా విధానాన్ని మార్చేసింది. నన్నే నాకు కొత్తగా పరిచయం చేసింది. నేనెవరు అం",5,60,25,10
"""నేనో మనిషిని, జంతువుని, చెట్టుని, పుట్టని, నీటిని, నేతిని, స్మశానాన్ని, దేవాలయాన్ని, చలనం లేని రాతిని, అచంచలమైన ఆలోచనని, అంతులేని ఆశని, చావులేని కోరికని, ఆపలేని ఆవేశాన్ని, పనికిరాని విద్వేషాన్ని, తోడురాని రక్తసంబంధాన్ని, కానరాని ప్రాణాన్ని, చూడలేని భావాన్ని, వీడిపోని భయాన్ని, కాదనలేని మొహమాటాన్ని, వద్దనకూడని ఆశీసుని, లాభంలేని లోభాన్ని, ఉపయోగంకాని ద్వేషాన్ని, అంటరాని అంతరాన్ని, నిజంకాని ప్రపంచాన్ని, అనుచుకోలేని కామాన్ని, దాచుకోలేని ప్రేమని. అన్నీ నేనే, అన్నిటా నేనే, అందరిలో నేనే, అంతటా నేనే, ఆది నేనే, అంతం నేనే, జీవం నేనే, శవం నేనే, ప్రాణం నేనే, చావు నేనే, దైవం నేనే, దయ్యం నేనే. నీటి బుడగని, ఏటి పరుగుని, ఓటి కుండని, ఉట్టి బండని, పగటి వెలుగుని, చీకటి నలుపుని, సాటి మనిషిని, తోటి వ్యక్తిని, కాటి సొత్తుని, మేటి మత్తుని, నిన్నటి గుర్తుని, రేపటి ఆశని, నేటి నిజాన్ని.""",10,50,30,10
